benchmark,run,result
quadratic,baseline,785
quadratic,myopt,542
primes-between,baseline,574100
primes-between,myopt,574100
birthday,baseline,484
birthday,myopt,299
orders,baseline,5352
orders,myopt,5352
sum-check,baseline,5018
sum-check,myopt,5018
palindrome,baseline,298
palindrome,myopt,298
totient,baseline,253
totient,myopt,253
relative-primes,baseline,1923
relative-primes,myopt,1117
hanoi,baseline,99
hanoi,myopt,99
is-decreasing,baseline,127
is-decreasing,myopt,120
check-primes,baseline,8468
check-primes,myopt,4603
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,2119
fitsinside,baseline,10
fitsinside,myopt,10
fact,baseline,229
fact,myopt,167
loopfact,baseline,116
loopfact,myopt,95
recfact,baseline,104
recfact,myopt,63
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,232
bitshift,baseline,167
bitshift,myopt,94
digital-root,baseline,247
digital-root,myopt,247
up-arrow,baseline,252
up-arrow,myopt,252
sum-divisors,baseline,159
sum-divisors,myopt,159
ackermann,baseline,1464231
ackermann,myopt,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
euclid,baseline,563
euclid,myopt,291
binary-fmt,baseline,100
binary-fmt,myopt,100
lcm,baseline,2326
lcm,myopt,2326
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,130
pascals-row,baseline,146
pascals-row,myopt,79
collatz,baseline,169
collatz,myopt,169
sum-bits,baseline,73
sum-bits,myopt,73
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
mod_inv,baseline,558
mod_inv,myopt,340
reverse,baseline,46
reverse,myopt,42
fizz-buzz,baseline,3652
fizz-buzz,myopt,2098
bitwise-ops,baseline,1690
bitwise-ops,myopt,1689
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,42
conjugate-gradient,baseline,1999
conjugate-gradient,myopt,1963
leibniz,baseline,12499997
leibniz,myopt,12499997
n_root,baseline,733
n_root,myopt,733
newton,baseline,217
newton,myopt,217
euler,baseline,1908
euler,myopt,1402
riemann,baseline,298
riemann,myopt,298
mandelbrot,baseline,2720947
mandelbrot,myopt,1343593
norm,baseline,505
norm,myopt,505
cordic,baseline,517
cordic,myopt,379
pow,baseline,36
pow,myopt,23
sqrt,baseline,322
sqrt,myopt,210
dead-branch,baseline,1196
dead-branch,myopt,1096
quickselect,baseline,279
quickselect,myopt,279
sieve,baseline,3482
sieve,myopt,3455
bubblesort,baseline,253
bubblesort,myopt,253
primitive-root,baseline,11029
primitive-root,myopt,11024
adler32,baseline,6851
adler32,myopt,6851
adj2csr,baseline,56629
adj2csr,myopt,56629
csrmv,baseline,121202
csrmv,myopt,120652
dot-product,baseline,88
dot-product,myopt,88
major-elm,baseline,47
major-elm,myopt,45
max-subarray,baseline,193
max-subarray,myopt,193
mat-mul,baseline,1990407
mat-mul,myopt,1990407
fib,baseline,121
fib,myopt,121
vsmul,baseline,86036
vsmul,myopt,86036
quicksort-hoare,baseline,27333
quicksort-hoare,myopt,27333
quicksort,baseline,264
quicksort,myopt,264
two-sum,baseline,98
two-sum,myopt,57
eight-queens,baseline,1006454
eight-queens,myopt,959700
binary-search,baseline,78
binary-search,myopt,74
cholesky,baseline,3761
cholesky,myopt,3180
mat-inv,baseline,1044
mat-inv,myopt,1044
